date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:52:20	24989/24989	---MCZ	200	added ('OK')	application/javascript	etag:W/%225df25c3f-619d%22	https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/javascript/tether.min.js	C:/BikeSale_FE/BikeSale_FE/themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/javascript/tether.min.js	(from https://themes.getbootstrap.com/preview/?theme_id=33181)
09:52:20	19196/19196	---MCZ	200	added ('OK')	application/javascript	etag:W/%225df25c3f-4afc%22	https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/javascript/popper.min.js	C:/BikeSale_FE/BikeSale_FE/themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/javascript/popper.min.js	(from https://themes.getbootstrap.com/preview/?theme_id=33181)
09:52:20	51143/51143	---MCZ	200	added ('OK')	application/javascript	etag:W/%225df25c3f-c7c7%22	https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/javascript/bootstrap.min.js	C:/BikeSale_FE/BikeSale_FE/themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/javascript/bootstrap.min.js	(from https://themes.getbootstrap.com/preview/?theme_id=33181)
09:52:21	7235/7235	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e2f68a9-1c43%22	https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/javascript/lazysizes.min.js	C:/BikeSale_FE/BikeSale_FE/themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/javascript/lazysizes.min.js	(from https://themes.getbootstrap.com/preview/?theme_id=33181)
09:52:21	2359/2359	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261a62b42-937%22	https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/javascript/scripts.js?ver=1638280002	C:/BikeSale_FE/BikeSale_FE/themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/javascript/scripts934d.js	(from https://themes.getbootstrap.com/preview/?theme_id=33181)
09:52:22	9136/9136	---M--	200	added ('OK')	application/octet-stream	etag:%225df25c3f-23b0%22	https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/fonts/fontello/bootstrap-themes.eot?52209345	C:/BikeSale_FE/BikeSale_FE/themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/fonts/fontello/bootstrap-themesc000.eot	(from https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/style.css?ver=1590611604)
09:52:22	4660/4660	---M--	200	added ('OK')	application/font-woff2	etag:%225df25c3f-1234%22	https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/fonts/fontello/bootstrap-themes.woff2?52209345	C:/BikeSale_FE/BikeSale_FE/themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/fonts/fontello/bootstrap-themesc000.woff2	(from https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/style.css?ver=1590611604)
09:52:23	5608/5608	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225df25c3f-15e8%22	https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/fonts/fontello/bootstrap-themes.woff?52209345	C:/BikeSale_FE/BikeSale_FE/themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/fonts/fontello/bootstrap-themesc000.woff	(from https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/style.css?ver=1590611604)
09:52:24	8936/8936	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225df25c3f-22e8%22	https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/fonts/fontello/bootstrap-themes.ttf?52209345	C:/BikeSale_FE/BikeSale_FE/themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/fonts/fontello/bootstrap-themesc000.ttf	(from https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/style.css?ver=1590611604)
09:52:25	6660/6660	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225df25c3f-1a04%22	https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/fonts/fontello/bootstrap-themes.svg?52209345	C:/BikeSale_FE/BikeSale_FE/themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/fonts/fontello/bootstrap-themesc000.svg	(from https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/style.css?ver=1590611604)
